"tag_id","t_run","t_rear_type","pass_type_T_R","rel_huc","rel_site","rel_rkm","rel_age","MPG","MPG.bin","BYage0","SYage1","AYageT","adult_age","OceanAge","length","SYage1_DOY","LGR.flow.7d","LGR.temp.7d","NPGO.ONDJFM.T","NPGO.ONDJFM.T.AVG3"
"3D9.1BF1076057",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2002",4,"2-Ocean",116,"121",97.7631428571429,10.3652857142857,1.814,1.91866666666667
"3D9.1BF10891ED",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",114,"105",85.014,9.42971428571428,1.595,1.91866666666667
"3DD.0077BA9504",2,"W","ROR","17060102","IMNTRP","522.308.007","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2019","2020","2022",4,"2-Ocean",114,"112",50.2934285714286,9.179,-1.193,-1.57
"3D9.1C2D4484CE",2,"W","ROR","17060208","JOHTRP","522.303.215.060.024.007","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2011","2012","2014",4,"2-Ocean",46,"111",103.706,8.96057142857143,-0.589,0.0416666666666666
"3D9.1BF1097257",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",115,"107",93.6025714285714,9.678,1.595,1.91866666666667
"3D9.1C2D125B55",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2008","2009","2011",4,"2-Ocean",110,"125",82.0684285714286,9.11357142857143,0.753,0.946
"3D9.1BF0E1D310",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2001","2002","2004",4,"2-Ocean",115,"102",72.1472857142857,7.72942857142857,0.452,0.329666666666667
"3D9.1BF232E86D",2,"W","ROR","17060208","LAKEC","522.303.215.059.045.001","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2007","2008","2010",4,"2-Ocean",77,"128",71.5714285714286,9.78485714285714,1.452,1.04333333333333
"3D9.1C67C4742B",1,"W","ROR","17060206","BIG2C","522.303.319.029.011","ParrAboveLGR","Middle Fork Salmon River","Clearwater and Salmon","2011","2012","2014",4,"2-Ocean",61,"113",104.376714285714,9.06671428571429,-0.589,0.0416666666666666
"3D9.1C2D9D60D4",2,"W","ROR","17060208","SECESR","522.303.215.059.030","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2011","2012","2014",4,"2-Ocean",61,"106",101.847142857143,8.63171428571429,-0.589,0.0416666666666666
"3D9.1C2CFAD610",5,"W","T","17060103","SNKTRP","522.225","SmoltAboveLGR","Lower Snake River","Lower Snake","2008","2009","2011",4,"2-Ocean",104,"130",97.7614285714286,9.90514285714286,0.753,0.946
"384.1B79725B8E",2,"W","ROR","17060208","SECTRP","522.303.215.059.007","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2015","2016","2018",4,"2-Ocean",56,"116",108.372857142857,10.8027142857143,-1.999,-1.339
